17.4,109.25,108.90,10.45
17.5,110.41,107.51,10.45
17.6,111.36,105.96,10.45
17.7,112.09,104.30,10.45
17.800001,112.58,102.55,10.45
17.9,112.81,100.75,10.45
18,112.79,98.93,10.45
18.1,112.51,97.14,10.45
18.2,111.98,95.40,10.45
18.300001,111.21,93.76,10.45
18.4,110.22,92.24,10.45
18.5,109.02,90.87,10.45
18.6,107.65,89.69,10.45
18.7,106.11,88.72,10.45
18.800001,104.46,87.97,10.45
18.9,102.72,87.46,10.45
19,100.92,87.20,10.45
19.1,99.10,87.20,10.45
19.2,97.31,87.45,10.45
19.300001,95.56,87.96,10.45
19.4,93.91,88.70,10.45
19.5,92.37,89.68,10.45
19.6,90.99,90.86,10.45
19.7,89.79,92.22,10.45
19.800001,88.80,93.74,10.45
19.9,88.03,95.38,10.45
20,87.49,97.12,10.45
20.1,87.21,98.91,10.45
20.2,87.19,100.73,10.45
20.300001,87.42,102.53,10.45
20.4,87.90,104.28,10.45
20.5,88.62,105.94,10.45
20.6,89.58,107.49,10.45
20.7,90.74,108.88,10.45
20.800001,92.08,110.10,10.45
20.9,93.59,111.12,10.45
21,95.22,111.91,10.45
21.1,96.95,112.47,10.45
21.2,98.74,112.77,10.45
21.300001,100.56,112.82,10.45
21.4,102.36,112.62,10.45
21.5,104.12,112.16,10.45
21.6,105.79,111.45,10.45
21.7,107.35,110.52,10.45
21.800001,108.76,109.38,10.45
21.9,110.00,108.05,10.45
22,111.03,106.56,10.45
22.1,111.85,104.94,10.45
22.2,112.42,103.21,10.45
22.300001,112.75,101.43,10.45
22.4,112.83,99.62,10.45
22.5,112.65,97.81,10.45
22.6,112.21,96.05,10.45
22.7,111.53,94.36,10.45
22.800001,110.62,92.79,10.45
22.9,109.50,91.37,10.45
23,108.18,90.11,10.45
23.1,106.70,89.06,10.45
23.2,105.09,88.22,10.45
23.300001,103.38,87.62,10.45
23.4,101.60,87.27,10.45
23.5,99.79,87.17,10.45
23.6,97.98,87.33,10.45
23.7,96.21,87.74,10.45
23.800001,94.52,88.40,10.45
23.9,92.93,89.29,10.45
24,91.49,90.39,10.45
24.1,90.22,91.69,10.45
24.2,89.15,93.15,10.45
24.300001,88.29,94.75,10.45
24.4,87.66,96.46,10.45
24.5,87.29,98.23,10.45
24.6,87.17,100.04,10.45
24.7,87.30,101.85,10.45
24.800001,87.69,103.63,10.45
24.9,88.32,105.33,10.45
25,89.19,106.92,10.45
25.1,90.28,108.38,10.45
25.2,91.56,109.67,10.45
25.300001,93.01,110.76,10.45
25.4,94.60,111.64,10.45
25.5,96.29,112.29,10.45
25.6,98.06,112.69,10.45
25.7,99.87,112.83,10.45
25.800001,101.69,112.72,10.45
25.9,103.46,112.36,10.45
26,105.17,111.74,10.45
26.1,106.78,110.90,10.45
26.2,108.25,109.83,10.45
26.300001,109.55,108.57,10.45
26.4,110.67,107.13,10.45
